Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,10u,
"C2, C3",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,47u,
"C4, C5, C6, C7, C8",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,5,100n,
D1,PinHeader_1x02_P2.54mm_Vertical,1,LED,
J1,PinHeader_1x04_P2.54mm_Vertical,1,INVERTER,
J2,PinHeader_1x03_P2.54mm_Vertical,1,PROG,
R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,270R,
U1,SOT-223-3_TabPin2,1,LM1117-3.3,
U2,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U3,SO-16_3.9x9.9mm_P1.27mm,1,MAX3232 (SP3232E),
